,CLASS
@sanzokung @fifisjc @Tnz_Mitsu ขำจนปวดท้องปวดคอบ้าบอไปแล้ว โอยฟี่ เธอต้องรวบรวมมันไว้พิมพ์เป็นลงนะ หรือให้เรารวบให้ แง ชอบมาก ชอบชมัดบ้าจริง,1
ในวันที่ฉันไม่สระผม เธอจะรักฉันม้อยยย,1
@orxv95 อาจจะไปหาอนาคตที่ไม่มีมานาน,2
ควรกลับไปนอนให้ได้,7
@kitapatmiya น่าจะได้ทำตอนเรียนจบ😂 /พี่ไปนอนละ ฝันดีนะะะ,7
@indiqirl ไม่เคยใช้อย่างอื่นเลยนอกจากที่ใช้อยู่ เดี๋ยวจะไปลองบ้าง จะได้ไม่ตบตีกับกระดาษทุกครั้ง orz,7
สุดยอดครับ   RT @NiyomHalanda: วินมอไชไปส่งห้องเพือนจะไปเอารถไปทำงานในตอนเช้า  พีวินมอไซบอกว่าจะเอาเมียๆไม่ไห้เอาเลย https://t.co/3KWGdJr24N,1
@joongxtaeyong 55555555555555 ส่งเสริมไปนะ มันยังไม่ถึงเวลาเลย,1
เกลียดตัวเองตรงนี้ วิ่งไปร้องไห้ 😂😂😂😂😂😂,1
อยากรีทวิตเมื่อกี้ให้ไปกระแทกหน้าคนมากเลยค่ะ 555555555555555555,1
ดงโฮก็มีลูก อิไลก็มีลูก จ้าาาาา...... 🎵 ข่าวคราวเงียบหายไปสองสามปี~~ *ซาวด์มา* 😂👏👏👏,1
ยอมไม่ได้หรอก5555 อุส่ามีสายลับ ที่ได้รางวัลของเอสเราก็ต้องแฝงตัวไป ถึงได้เจอตอนนางเข้างานก็ยังดี,1
31มกรา ปีนี้เป็นปีแรกที่ไม่ได้อยู่วันเกิดแม่ โทรไปหาแม่แค่แปปเดียวเองเพราะแม่ขายของยุ่งอยู่ :/ สุขสันต์วันเกิดนะคะ… https://t.co/99J1NoA5FU,2
@MALINWORLD_____ พี่มิ้วโอนไปตอนกี่โมงคะ,7
@airbuscanfly ข้ามไปข้อสองเลยได้มั้ยครับ...,7
ตื่นเช้าไปส่งพี่มันเรียนอีก,4
ไอบ้าเอ๊ย เพื่อนไปสยามวันนี้แต่มันเสือกไม่รู้จักลิซ่าบพ. อิผีบ้าผีเรือน!!! ฮรือออออ,4
ไม่ใช่คนเดิมคนที่เราเคยรักอีกต่อไป,2
เดี๋ยวนี้การมีเพื่อนเข้ามาคุย เข้ามาถามว่าเราเป็นยังไงเล็กๆน้อยๆนี่ made my day ได้จิงๆอ่ะ แบบ เออ ต้องสู้ต่อไปนะมึง #นักเรียนแลกเปลี่ยน,1
ทวิตบางอันที่แบบนานแล้วพอผ่านมาอีกก็แบบ หึ๊ กูไปใส่ใจไว้ตอนไหน งงเว้ออออ,4
⁽🐰🔌⁾ เคยอยากเป็นคนแบบนุ่มนิ่ม ประจบเก่ง เข้าหาคนเก่งเหมือนกัน แต่คิดแล้ว ชอบตัวเองแบบนี้มากกว่า ถึงจะขรึมๆไปบ้าง แต่ดีตรงที่ไม่ต้องพยายาม,8
บ้าไปแล้วแน่ๆ ไม่มีสำนึกเลยหรืออยากดัง,4
ถ้ามันตายเราคงยินดี,4
เซเว่นนี่ถ้าไม่ได้คิดไรมากคือสะดวกกับชีวิตเรามากนะ แต่ความจริงคือระบบนี้กำลังครอบคลุมและผูกขาดผู้บริโภคที่แท้จริง ผลเสียเยอะ++++++,1
โดนัทกับข้าวจะเลือกอะไร คนไทยสายแดกอย่างเราต้องข้าวสิจ๊ะเวลานี้,1
"170129 #PENTAGON Fancafe
[ฮงซอก] สุขสันต์วันปีใหม่ทุกคน

ทะเลหน้าหนาวสวยมากเลยนะ:)
ปี 2017 ก็ด้วย มาสร้างความทรงจำ… https://t.co/HiBl1Yxjd3",7
เราไม่อยากให้แชร์รูป #ลลิซ  เวลาอยู่กับครอบครัวหรือส่วนตัวเลย #คนเรายิ่งชอบมาม่ากันอยู่  ฝากไว้ให้คริสสส เฮ้อออ,3
มีคนบอกว่านิยายเราเรื่อยๆเอื่อยๆขาดจุดพีค อืมม ความจริงเป็นคนที่ชอบนิยายแนวนี้นะ แต่ไม่รู้ว่าคำว่าเรื่อยๆมันหมายถึงน่าเบื่อหรือเปล่า,3
เราเมานะอ้วน แต่หมงคิดถึงอ้วนนะ,7
ถ้าจับน้องกินตรงนี้ได้ก็คงทำอะเนอะพี่ แต่นี่มีกล้องไง ยังกินไม่ได้ /ปล่อยเราจะชง #VKOOK https://t.co/0dw4lwVemB,1
เรายังครองเกมต่อบอลกันเป็นส่วนใหญ่ #COYS,1
"อยากให้เรื่องในฝันเรื่องนึงเป็นจริง 
ฝันว่ามีคนมาบอกเราว่า ""มีคนชอบเราเยอะนะเเต่เค้าไม่มั่นใจในตัวเรา"" 
มาชอบเราสิ 55555 เราพร้อมเเล้ว",7
(🔥🦁)สุ่มแจกสตก 50c 2คนครับ เนื่องจากครบรอบ5ปีแบคฮยอน เมนหัวแก้วหัวแหวนของเรา #5yearsWithBaekhyun,7
@joongxtaeyong เรามะใช่โซดา เราไม่ซ่านะ! เราก็มีช่วงเวลาตอบเหมือนกัน แต่ถ้าแดนดินตอบเวลาแบบนี้คนนอนกันหมดละนา,7
ต่อเนื่องไปกับนรกถั่วงอก..  #grtgrtsnapmeal https://t.co/Uu81iB0kLR,7
รอผมก่อน  ผมส่งไปวันที่ 31. พอดี 55 https://t.co/o4zlrsdDWF,7
กูจะปาแลปทิ้งอยู่แล้วชิบหาย พ่อง ไปดรอป,4
น้องแบมได้อั่งเปายังคะ หรืองอนกับเม้นสุดท้ายไปแล้ว5555565,1
@MontreeM ไปนอนสิ,7
ยิ้มค่อยๆ แค่เธอยิ้มค่อยๆ หัวใจก็ลอยไปแสนไกล 💕💞 #KAIHUN https://t.co/EEnK5btbD1,1
ซ้อมแค่เมเลดี้ละกันจารย์ ส่วนคอร์ดนี่แบบ... ไปสารภาพบาปละกัน,8
กลัวที่สุดก็ตอนคุณทิ้งไป,3
พอได้อยู่ด้วยกันนานๆ มันก็อาจจะดูน่าเบื่อไปสำหรับเธอ,2
ปล่อยมันไปกับคำว่าเสียใจให้กับคนที่ไม่รู้ความหมาย,8
"ป่วย+ไม่ได้วาดแฟนอาร์ตใหม่ๆเลย 
แวะมารวมฟอ.คู่ชิปอันเก่าให้แล้วจะไปนอนพักต่อแล้วค่ะ แฮ่ก 😷⚡️ #junhwan #DoubleB… https://t.co/xnkpliFwG7",5
@ljhwzx หายไปล่ะเหลือห้า,2
กูว่ากูควรไปพบจิตแพทย์ว่ะ เหมือนจะเป็นบ้า,2
@hwiyoungyk เริ่มงงแล้วครับ ไปนอนกัน!,8
ตะซอ ดายอง ยอรึม เต้นMonster เป๊ะและจริงจังกว่าทุกครั้ง ดายองรองเท้ากระเด็นไปข้างนึง เลยถอดอีกข้างไปเลย 5555555555… https://t.co/UxU7ia3HUK,1
มิ๊พาหนูไปงานวันเด็กมาด้วยแหยะะะะ #ยัยหนูบัมบัม https://t.co/xgnHgibxUy,1
ฟังเพลงจบรอบนึง มึนไปหมดเลย รู้แค่ว่าไอรีนสวยมาก ถถถถถถถ,1
บ้าเอ้ย 555😂 หรือคิดไปเองวะ คุยเก่งเกินไปละ,1
แรร์เกินไปละ ไปส่องแบบเสียตังในไทย ช่องในเครือมาหมด ยกเว้น Nittele Plus,4
มันสนุกตรงที่เราเงียบเราคือผู้ชนะปล่อยให้พูดไป,1
ใครที่ไปญี่ปุ่นแล้วอยากกินซูชิราคาถูกๆ แนะนำให้ลองซื้อในซุปเปอร์ตั้งแต่5โมงเย็น เพราะสินค้าสดจะมีราคาลดลงตั้งแต่10%… https://t.co/3Xy1UaEzsQ,7
@Retouchpls ประทับใจ หญิงเสื้อขาวในรูป อยากเห็นเธอในโมเม้นน่ารักกว่านี้  #รบกวนตัดต่อภาพนี้หน่อย https://t.co/HOoLSGuGCz,1
@uztl222 โช: ฉันเห็นจริงๆนะ! เธอไม่เห็นออร่าสีชมพู(?)นั่นเราะ!,1
เจ็บกี่ครั้งก็ยอม .. ถ้าเธอกลับมา #คำคมในวงเหล้า #แคปชั่นไม่เกี่ยวกับรูป #มุขเสี่ยวเกี้ยวสาว,1
เป็นคนที่เธอไว้ใจ มันก็ดีเท่าไร.,2
ถึงฉันโพต์ไปเธอก็ไม่เห้น. เพราะเมียเธอปลดเฟสฉัน. ':),8
@n0412x หยิกมาเราขอหยิกกลับได้ไหมคะแลกกันแบบนี้ เราเห็นคุณแล้วเราหมั่นเขี้ยวมากเลยอ่ะอยากหยิกแล้วโอ๋ทีหลังจริงๆเลย,1
"เราคงจะรักกันมากกว่านี้ไม่ได้ 
1% ไม่มีจริงหรอก #รัก",1
ความรักสามารถเกิดขึ้นได้มากกว่าหนึ่งครั้งในชีวิตคนเรา หากแต่เราจะรู้ว่ากี่ครั้งก็ต่อเมื่อเราเจอ ..ครั้งสุดท้าย #คำคมโดนใจ  #แคปชั่นคนเหงา,2
@_FLente ดีใจมาก ๆ เหมือนกันค่ะที่มีคนแต่งแบบนี้ 😭😭😭 เราพยยามหานานมาก ฮือออออ ขอบคุณที่แต่งนะคะ,1
"ถามน้องแล้วนะคะ ว่าลงรูปได้มั้ย
น้องบอกเองว่าลงได้เลย 
ส่วนอะไรที่ไม่ได้ เราเซฟน้องให้แล้ว
สวัสดี
#welcomeLalicetoThailand #LISA #BLACKPINK",1
หงุดหงิดตั้งแต่สายตาหาเรื่องของนางวันนั้นละ ยังไม่นับวันที่เดินตามเขาเข้ามา แล้วเห็นเรายืนทำงานอยู่ในร้านอีก เด๋อไปสิหล่อน !,4
@TYsANTHONY .ขำ มันเป็นสไตล์ค่ะ ยินดีที่ได้รู้จัก หวังว่าเราจะได้ร่วมงานกันเร็วๆนี้นะคะ ปล.รบกวนกันคิ้วให้หนูด้วยค่ะ ดกดีเหลือเกิน,7
@JANE_613 จะพิมไงดีอ่ะ 555555 คืองี้นะเวลาเราเหนนางใช่มะเราก็เหนมุมเดียวอ่ะเนอะว่านางตลก แต่จิงแล้วอาจจะมีมุมด้วยก็ได้ที่ทำให้มีคนรักอ่ะ,1
ความจริงเลยคือชอบอ่านนิยายแนวเรื่อยๆมาก อยากให้ทุกตัวละครใช้ชีวิตแต่ละวันไปพร้อมเรา โอเค ชีวิตจริงมันอาจไม่เป็นงั้น,8
#พรบคอม เลื่อนไป1วันแม้เป็นชัยชนะเล็กๆเท่าจิ๋มมด แต่อย่างน้อยก็ได้รู้ว่าเสียงของเราไม่สูญเปล่า ขอบคุณชาว #ทวิตภพ จา… https://t.co/Mm2rFn1FO7,8
เราต้องไม่ตาย... มารับปริญญาก็อ้วกแตก .. กินอะไรลงไปก็ตะอ้วกออก ปวดหัวระดับ10  ท้องเสียเพิ่งหาย ก็เป็นอันใหม่,7
@MALINWORLD_____ @mine_xo97  พี่ฝากเพื่อนโอน 2ใบ แต่ผิดตู้อย่างที่บอกไป แต่มีชื่ออยู่ใน 127 ค่ะ ถ้าได้ เดี๋ยวพี่ขายต่อให้นะ  กำลังเช็คอยู่,7
เสร็จแบบไม่สุดอะ เหลือต้องเติมเนื้อหาเพิ่ม ส่วนอิ๊งทำเช้า จบคลาสมาต่อด้วยญี่ปุ่น เอิ่ม เหนื่อยเว้ยยย พอเย็นต่อด้วยไปทำงานที่สโม,8
@IMWMX96 งั้นพี่จะไม่ตาย55555555 ริกหนูไปเรียนแบบนี้มาจากไหนสอนพี่บ้าง5555,1
กลับไปดูพีวีเอโระมังงะเซนเซย์อีกรอบ เสียงซากิริโคตรน่ารักก แวววว,1
@ppppppolyploy นี่จะลองสมัครป.โท ฬ แงะ korean studies แหละ ถ้าได้ก็ได้ไปเรียนโน่นช่วงปลายปีเทอมนึงงี้ เผื่อไปจอยกัน,7
ความรักที่เคยมี วันนี้ตายลงไปเมื่อไรฉันจะยอมรับ..,2
พอๆกับควยอะ เหนื่อยไปหมด น้องเหนื่อย,4
#ราคาค่ารัก เรื่องผูกปมดีแล้วค่อยๆคลายปมแต่ยิ่งทำให้รู้สึกหมือนถูกบีบรัด สำหรับเราคือพีคขึ้นทุกตอน เพราะยิ่งอ่านเหมือนยิ่งเปิดไพ่ไปเรื่อยๆ,7
อ่านแล้วก็คิดอะไรไปเรื่อย.. https://t.co/n5ZVtC12Wu,7
@PAI_HG ให้ใช้ครั้งเดียว เมื่อกี้ใช้ไปแล้ว,7
กูจำแอคเค้าท์นั้นไม่ได้อ่ะ เพิ่งเปลี่ยนชื่อไป เข้าไม่ได้ทำไง โว้ยยยยยยกยำสไยหวหไว่กรไไา รูปในนั้นเต็มเลย เสียดายสัด,4
เดือนหน้าตารางเวรก็เหลือทน รุ่นเดียวกัน ทำไมมันต่างกันขนาดนี้  เหลืออีกแค่ 59 วัน ขอให้ไม่เป็นบ้าไปซะก่อนแล้วกัน,7
จากการไปงานวิ่งมาบ้าง ทำให้รู้ว่ากรุงเทพฯถึงจะเป็นโซนใจกลางเมือง อย่างสามย่าน สีลม วิทยุ สาทร ช่วงเช้าๆนี่สกปรกมาก น้ำขยะเอย กลิ่นฉี่เอย,5
@gxtothei_ อยากกลับไปเล่งเบ,7
@RxZopsyz_ ไปซื้ออ ถ้ากูกหารครึ่งนะ,7
มีตติ้งไฮคิวผ่านมาปีนึงละหรอ เหมือนเพิ่งจะผ่านไปไม่นานนี้เองนะ งืมมมมน่าคิดถึงจังงง~😣,7
"ก๊อปเพลง,โลโก้,ท่าเต้น ต่อไปจะก๊อป 🌹โรสบง🌹 ด้วยไหมค่ะ จะได้เป็นวงที่ก๊อปทุกอย่างโดยสมบูรณ์ไปเลย อยากจะเอาโรสบงไปตี… https://t.co/GTJXyYtWCg",4
ตรรกะอะไรของเธอ นั่งเครื่องบอกไฮโซโอ๊ยนั่งมะกอก นี่ก็เคยโดนแต่ไม่สนอะเพราะเราสวย 555555555555555,1
"ถ้าเป็นเมื่อวาน ข้างฉันคงเป็นที่เธอ
แต่มีแค่ฉันคนเดียวลำพัง ข่มตาผ่านคืนนี้ไป
#timehop",2
""" ได้โปรดให้ฉันร้องเพลงเพื่อเธออีกสักครั้งจะได้ไหม """,7
"เพราะเธอนั้น บอกฉันให้ได้รู้
ว่าไม่มีอีกแล้ว ไม่มีอีกแล้ว.",8
"ถ้าเป็นเมื่อวาน หลับตาจะมีเสียงเธอ
บอกกันว่ารักให้ฟังเบา ๆ ก่อนนอนให้หลับฝันดี
#timehop",1
สักวันเราก็คงไม่รู้สึกอะไร https://t.co/P6X30bPHth,8
แค่เพราะมันเป็นนิยายนั่นแหละ บางทีเราเลยอยากอ่านอะไรที่ไม่จริงบ้าง ชีวิตเครียดพอแล้วเนอะ,8
เมื่อมีคนตั้งกระทู้ถามว่าน้องตัลมีแฟนยัง และมีคนเข้ามาแสดง คห. มากมาย แต่เราชอบ ความคิดเห็นนี้  มีคนคิดเหมือนช้าน… https://t.co/t8ix6MvoQu,1
กูกลับมาเพื่อหวังเราจะเข้าใจกัน ไม่ได้กลับมาเพื่อพิสูจว่าใครที่จะอดทน,7
เพิ่ลรีเรารีต่อ รีวนไป,7
@_arcntl เราอยู่ถึงเย็นๆเลย ถ้ามาค่อยบอกน้า ไม่งั้นอาทิตย์ก็ได้,7
ใจดีกับเราด้วย ☺️ https://t.co/RIbmyr6OED,1
คือโดนด่าแค่นี้จิ๊บๆเว้ย เราชอบอซมาสี่ปี ชินกับการโดนด่า โดนดูถูก โดนเหมารวมมาก ทั้งที่เกา ไทย ตปท ทุกด้อมรุมเกลียด 5555555,8
คนเรามีวิธีการจัดการปัญหาได้หลายแบบแต่ถ้ามาทวิตลอยๆทำเหมือนคนอื่นผิดนี่มันตลก,5
@ryanxjin ตลกจัง ไปเปิดคณะตลกไหม,1
"วันนี้พาน้องตังค์ออกมาเที่ยวงานวันเด็ก แต่ลูกดูเหงาๆ สงสัยเพราะน้องๆออกไปเรียนต่อกันหมดแล้วแน่ๆเลย
เฮ้อ มะม๊าก็เหงา… https://t.co/ZHqM0J0xwd",2
เดี่ยวหรือคู่สนใจมินิมิ้นติ้งชิลวันเสาร์28 นี้ เน้นเข้าใจกตกามารยาท หกโมงเย็นลงไปแถวฝั่งธนปิ่นเกล้า คู่5-10 คู่ สนใ… https://t.co/fPB5L0Vpng,7
เปิดไปจะฟิตละ ของแดกก่อนได้มั้ยล่ะสังคม -..-,1
มีใครไปแมคไหม,7
สรุปว่าที่เจอบ่อยๆนั้น ผมตามไป555555555555555 https://t.co/4zJlvm8hoK,1
พรุ่งนี้เช้าผมเดินทางไปทำงานที่ปีนังแล้วนะครับ กลับไทยอีกทีคืนวันที่ 17 พ.ย.ครับผม อย่าลืมกันน้าาาา จุ๊บๆ https://t.co/XzFO92V3e6,7
@jenonoona_039 ศาลายาฮับ มาอยู่กับคุณยาย 55555 น่าจะกลับ19-20 อ่า งื้ออออออออออออออ พี่ทอยังไม่ไปไหนใช่ม้ายยยยง่า TT,7
ติดการ์ตูนมากไปแล้วนะ 😭,4
อะไรที่ทำให้เครียดก็ตัดๆทิ้งไปเหอะ..จะได้มีความสุข:),8
สวยอ่ะ ราคาต้องติดต่อไปสินะ,1
@JUNGK97S เคยไปละ เข้าไปสามวิ ขอบคุณค่ะ อ่อ ไม่ผ่าน 555555 ไปตอนซีซั่น 4 อะ,1
ต้องพัฒนาตัวเองไปอีกเท่าไร,3
เอาให้ตายกันไปข้างนึง,4
"พื้นที่อิสระของกู ที่จะทำอะไรโดยไม่ต้องกังวลว่าจะมีใครเผือก แล้วเอาเผือกไปเผา ก็คงเป็นทวิตเตอร์นี้หละ 

#twitter… https://t.co/uaXMRoO7DN",4
ล้อคไว้ด้วยไงประเด็น หายปุ้บ จำไม่ได้ปุ้บ หายไปกับสายลม ไม่มีพยานหลักฐานใดๆ,4
เนี่ย เดี๋ยวพอจะไปเที่ยว สิวแม่งก็จะขึ้น ดักกกกก,3
ทุกวันฉันยังตื่นขึ้นมาพบว่าทุกๆอย่าง ยังเหมือนเดิมต่อไป,8
@B2FAM_UBOT ฟาวน์ - เธออยากได้อะไรละ? ถ้าสิ่งตอบแทนมีค่าพอฉันก็จะช่วยแล้วกัน /ยิ้ม,1
อยู่ ๆ ก็กังวลขึ้นมา... ในตัวเราจะมีอะไรแบบนี้ไหม... lllorz https://t.co/uPunnOi1gk,3
@kitapatmiya โอ๊ยยยย เลิฟรุ่นพี่ต้องปกป้อง ระนะ❤️💛💚💙💜 /ใจเย็ล--  เราไม่คิดว่าจะหาห้องที่เหลือเจอนะคะ แบบว่ามันน่าจะง่ายไป(?) มันต้องมีซัมติง,1
ตอนนี้เหมือนเราเป็นคนเดียวที่เข้าใจงานทุกอย่างแต่งานเยอะมากเกินไป วิธีแก้ของพี่คือเราต้องระบายงานให้คนอื่นที่ไม่ได้มีผลประโยชน์อะไรกับงานเรา,8
"สวัสดีค่ะทุกคน~ 
ในวันเกิดของเตนล์ ทางเรามีโปรเจคร่วมทำป้ายวันเกิดกับทางแฟนไซต์ @HiMylight รายละเอียดอยู่ในฟอร์มนะค… https://t.co/JvoeVGGN8g",1
บางทีก็คิดเฉยๆ เราถูกสอนกันมาตลอดว่า ฆ่าสัตว์ตัดชีวิตมันบาป แต่เวลาใส่บาตรก็ใส่กับข้าวที่มีเนื้อสัตว์งี้  แบบนี้ไม่บาปเหรอ,5
@bikex92_ พี่ก็หิว.. เราไม่ควรพูดเรื่องหิวตอนนี้นะ,4
@veinxtaeyong หน้าเราสวยนะ ควรจะคิดถึงตอนเลือกซื้อคสอ.,1
ตื่นมาเราจะคูลคึเก่า,7
วันอังคาร 31 มกรา : โดดชีวะครั้งแรกของเทอม นอนอยู่หอ ปรากฎว่าอ.ให้ควิซเช็คชื่อเพราะคนไปน้อย ..ซวยเลย 555555 วันนี้นอนเยอะมากๆนอนทั้งวันเลย😴💤,2
@Patrizia_Chang @sanzokung @fifisjc @Tnz_Mitsu บ้าจริง เพลงแปลกๆของพิชิโตะคุงรูมเมทที่เขาเปิดเวลานึกครึ้มนั้นมันติดหูเสียได้ เอาเถอะลืมมันไป,8
แต่ก็เข้าใจนะเนื้อหามันคนละกาแลกซี่ไปแล้ว ถึงอย่างงั้นมันก็ต้องติดต่อกลับไปกับกาแลกซี่ทางเก่าป่าวอะ ละแบบเทคโนโลยีตรงแอนโดรเมด้าก็ไม่น่าใช่,8
รีวนไป เขิลลลล 5555 https://t.co/OeeDER2IiL,1
"โซนเยลลี่ที่ IKEA MEGA BANGNA นี่ดีต่อใจ 50฿/100g ตักวนไปค่ะ แม้จะมีให้เลือกไม่มาก แต่ก็สนุกดี
#อร่อยไปแดก… https://t.co/2yOrjcsxFk",1
@_JONEX94 อ้ออ เดี๋ยวหนูจะไปนอนแล้วนะคะพี่วอน,1
ไปรับจ้างถางหญ้ามา ร้อนมาก อาบน้ำดีกว่า https://t.co/g7crDYvo81,1
@tuaengxjoy ไถทวิตไปเรื่อยอ่ะ. บี้อ่ะนอนดึก555,1
อิจฉาตัวเองตอนแต่งฟิคแรกๆ การพรั่งพรูจินตนาการของตัวเองลงไปโดยไม่ได้คิดอะไรมากมายมันเป็นสิ่งที่ดีจริงๆ,1
วันนี้เหมือนจะตาย นี่กูไปทำงานหรือไปรบบบบ การที่เดินไปเดินมาหลายๆกิโลในสนามบินไม่ใช่เรื่องตัลหลก ㅠㅇㅠ,2
คิดถึงเธอมากเลย https://t.co/u9rthD1iNN,1
"🐰: อ๊า~ เธออีกแล้ว..
#พี่เขาดีใจหรือเสียใจอ่ะ #พายเรือยังไงไม่ให้ล่ม https://t.co/ViAzPixqd6",1
"วาเลนไทน์ปีนี้เราไม่เหงาอีกแล้ว
มีมือให้กุม มีคนเดินเคียงข้าง   :)",1
ฝากRTค่า หาบ้านให้ลูกแมว5ตัวค่ะ น้องถูกนำมาปล่อยให้เปียกฝนโดยไร้แม่แมวค่ะ กำลังซน กลัวหมากัด/รถทับค่ะ อยู่แถวบ้านเร… https://t.co/3QxovDfyHn,3
@its_not_enough เรารุกไม่เก่ง เราเป็นคนเรียบร้อยนร้ะ,1
28. the gift เรื่องนี้ชอบเพราะส่วนตัวชอบ allhun (chanhun/kaihun)  เนื้อเรื่องน่ารักลุ้นว่าใครกันน้าจะได้มาคู่กับน้อ… https://t.co/08u7It0oC3,7
เวลาหมอบอกการนอนดึกไม่ดีต่อการลดน้ำหนักนี่ไม่ใช่เพราะร่างกายเราจะใช้พลังงานและหิวแต่เพราะจะมีพวกชั่วรีรูปอาหารมาให้เราหิวใช่ไหม,8
เงาแค้นเป็นแสน คู่กรณีเป็นล้าน ในพันทิปกระทู้ชมยังโดนด่า แค่แบบเสียใจนิดๆว่าวงเราทำผิดอะไร ทำไมเขาถึงโดนเกลียดขนาดนี้,2
ตอนนั้นแป้นพังก็บอกเขาไป,7
ดูพ่องูไปก่อนน่ะ ครัฟ!!😀😀 https://t.co/k2k92sV9kf,7
จีมิงงงงงงง แดงไปหมดเล้ยลูก เขินหรือชอบหรือทั้งสองเลือกเร้ว งื้ออออออออ https://t.co/l4CxxLTmzN,1
@smileGataeZz 55555555 ไปบ่ในเมืองงง,1
ชอบกลิ่นแบบนี้จัง อยากจะเอาหน้าไปซุกไว้ทั้งวัน,1
ก็เป็นไปได้นะ เพราะฮีจินตะลุยลานเยอะที่สุดแล้ว เพราะปล่อยคนแรกงี้ รอบนี้อาจจะเป็น🐱🐦🐸+เมมเบอร์ใหม่ก็เป็นไปได้ /เดายาวๆกันไป,7
@sud0605bh พึ่งฝากพ่อซื้อลิปไป ของอาจจะถึงมือปีหน้า,7
สีหน้ากูตอนไปชอบคนๆนึงแต่พึ่งมารู้ทีหลังว่าเค้ามีแฟนแล้ว https://t.co/0ob4ilJ0AC,5
อห เรื่องจสกค ที่เกือบลืมไปละ https://t.co/bIEjFPSZiG,7
@1_97X พี่โดนลากไปกินครับ หนูควรจะสงสารพี่มากกว่านะ ปกติพี่นอนเช้าๆ นู่นแหละครับ แต่เดี๋ยวคงนอนแล้ว หงุดหงิด 555555 ทำไมหนูยังไม่นอนอีกครับ,4
อีคุณเจตตต มันพูดแบบไม่มีสายตาความรู้สึกใดๆเลย แต่ดาวคิดไปไกลแล้วค่าาาาา โอ่ย พาดาวกลับมา #คลื่นชีวิต,7
CJES WEIBO UPDATED ลองไปอ่านคอมเม้น คนแซว(?)ซจ.หรือด่าไม่รู้เยอะมาก 55 https://t.co/WYRfafeZiE,1
@SHWxRowan .ยิ้มขำ ไม่มีอะไรหรอกค่ะ จะไปก็ไป,4
ครั้งแรกเลยมั้งตั้งแต่พ่อจากไปที่กอดแม่แล้วร้องไห้,2
ว่าจะเลิกกินมาม่าแล้วกินอาหารที่นี่เยอะๆ แต่มัมบอก มาม่ามันง่ายและอร่อย เรากินมาม่ากันบ่อยๆเถอะ ซิสก็เช่นกัน....… https://t.co/X60TPctOmi,8
@kitapatmiya .......มีทั้งหมด 9คน.... เสียดายที่ไม่มีจอย เพราะจอยมันจะสั่น แล้วมันจะนวดให้เราต่างน้ำหนักกันกับของแต่ละคน,7
เหมือนเราโดนเล่นไปพร้อมเนื้อเรื่อง เจ็บบวดไปหมด อินมากๆ #เธอที่ร้าย,7
เวลาคนชอบผู้เราว่าร้องเพลงเพราะ แม่งปริ่มกว่าชมว่าหล่ออีกอ่ะ ฮือออออ ดีๆๆๆๆๆ ชอบๆๆๆ,8
ตอนเช้าบ้านตาอากาศเย็น แม่จะแอบห่มผ้าให้เราอีกผืน ทำให้ฉันรู้สึกตัวตื่น แต่ก็แกล้งหลับต่อ (: ฉันชอบความรักของแม่จัง,1
นี่เรากำลังทำอะไรอยู่,3
ไม่มีผลประโยชน์แล้วใครจะอยากทำให้ แล้วงานมันจะออกมาดีได้เหรอ เป็นห่วงมาก แต่เราก็ทำไม่ไหวอีก เอ้อ5555555555555555,1
เหมือนหลายคนถอดใจเรื่องโหวตชื่อ ยนว. แต่นี่ไม่ยอมอ่ะ มันต้องอยู่กับเราจนแก่ จนเปย์ไม่ได้กันไปข้างนึง ทำไมต้องมาหลบให้พวกงี่เง่าโลกแคบด้วย-_-,5
"เราก็รอซับต่อไปฮับบบบบ
#NightLight https://t.co/Q1o93b3gYM",7
ยิ่งรู้ก็ยิ่งเข้าใจว่าเรามันต่างกันเกินไป เรื่องของเราไม่มีทางเป็นจริง 😢,8
เราผูกพันเด็กอะคาเดมี่แมนยูช่วงมอยส์กับฟานกัลมากเลยนะ ช่วงนั้นดูบอลตลอดทุกนัดไง เลยได้ดูช่วงที่เด็กเริ่มขึ้นมาเล่นด้วย,7
"ตอนคุยกันใหม่ๆเวลาเราหาย
""คุณตำรวจครับเเจ้งความครับมีคนหาย""
ตอนนี้ ""ตายเเล้วหรอ?""",8
มุนบินบอกว่าได้โทรศัพท์คุยกับชานอูด้วยมุนบินบอกชานอูว่าเราน่ามาเจอกันในเร็วๆนี้นะ แล้วทั้งสองคนก็สัญญาว่าจะหาเวลามา… https://t.co/QxHij4xa3r,7
@_YTX95 แบบนี้มันดีหรือไม่ดีครับ นอนไปแล้วใช่ไหมครับฝันดีนะ,7
ก็คนมันขี้หึงงงง  นิดหนึ่งก็คิดไกลลลล มันคิดระแวงไปอยู่เสมออออ #ผมนี่D2Bเลย,7
ผมไม่มีซองแดงจะให้ เอาแดงๆอันนี้ไปดูก่อนนะครับ https://t.co/TWXV6Veq9F,7
เค้าดังหรอม กูไม่รู้เรื่องเลย กูไปอยู่ไหนมา,6
คิดถึงท่านประธานแล้ว วันนี้ต้องกลับไปดูซ่ะหน่อย 😄 #nightlight https://t.co/sP01i7Ac3o,7
ตะก่อนนี่แบบ เล่นบ่อยจนสนิทไปทั่ว หลังๆ เริ่มไม่ค่อยเข้าละเลยไม่มีคนจะคบนี่55555555555,1
ไปหาที่บ้านเลยได้ไหม.,7
