"text	 ",EMO
"ขอกลับมารักอปป้าเหมือนเดิมละกัน จะได้ไม่ต้องเสียใจอีก?? https://t.co/z9r6H5zmHM	",sad
"@CrushTH  เสียใจด้วยค่ะ เสียดายจัง สู้ๆนะคะ	",sad
"ฉันไม่ต้องการใครอีกดวงดาวทั้งฟ้าต้องเสียใจและ ไม่มีสิ่งไหนสวยงามต่อไปตราบที่โลกนี้มีคนอย่างเธอ ?? https://t.co/1qGOGq3PWw	",sad
"161221 #NFlying instagram update คือว่า ผมชอบอิเล็คทริกกีตาร์มากกว่าอะคูสติกครับ ฮ่าๆ ถ้าลงแต่อะคูสติกจะรู้สึกเสียใ… https://t.co/zqT6Q7FvFE	",sad
"ทุกวันนี้เสียใจยังไงก็อดทนเอาโตแล้วแสดงออกเยอะก็ไม่ได้	",sad
"แค่รู้จักมึงก็เป็นเรื่องน่าเศร้าของชีวิตกูมากพอแล้ว	",sad
"ชีวิตแม่งเศร้า เหล้าก็ไม่มีจะกิน #คำคมในวงเหล้า #แคปชั่นเด็ด	",sad
"พูดถึงเกรดแล้วเศร้าทุกที ฮืออออออออออออออ มึงอย่าออกมาทำลายความสุขกูได้ม้ายยยยยยยยย ฮือออออออออออออออออ	",sad
"จมปลักกับความเสียใจที่เก้บมานาน	",sad
"ไม่อยากมีแฟนค่ะ กูเบื่อเวลาอารมณ์ตอนกูหึงกูหวง ตอนกูน้อยใจ ตอนทะเลาะ ตอนเสียใจ ตอนร้องไห้ กูเบื่อทุกอย่างอ่ะ... https://t.co/xtix0HGMwM	",sad
"อึดอัดได้ เจ็บได้ เศร้าได้ แต่อย่าลืมที่จะยิ้ม :)	",sad
"คิดถึงจังเด็กบ้า ?? #เศร้า #ขอเธอคืน https://t.co/QYzm32H80Q	",sad
"สิ้นเดือนทีไรเศร้าใจทุกที ห่อข้าวไปกินดีมั้ยเนี่ย	",sad
"@Anamika_Newnang เพื่อนจริงจัง เพื่อนจะเป็นโรคซึมเศร้าแล้ว	",sad
"ที่พิมพ์55555 ไปไม่ใช่ไรหรอกแค่ไม่อยากให้ใครรู้ว่าเศร้า	",sad
"โคตรเสียใจ ฮืออออออออ ตั้มไม่ย้ายได้ไหมอยู่กับพี่ตองก่อน ??????  #ตองตั้ม	",sad
"บอกตรงๆ โคตรเสียใจ.	",sad
"@gamthestar เสียใจ อุตส่าห์ตั้งใจจะไปขอนแก่นเลย. คราวหน้าเนอะ????	",sad
"ซูโฮ ""ถ้าได้เกิดใหม่อีกรอบ ผมก็ยังอยากเป็น EXO อีกครับ ผมไม่เคยเสียใจที่เป็นลีดเดอร์ของเมมเบอร์ของผมเลยสักนิดครับ""… https://t.co/SEpwtya7wU	",sad
"มีความอยากเจอออออ ????
ร้องไห้เสียใจ

@Hunz_IPH 

มาเชียงรายทั้งที งื้ออออ	",sad
"ผลจากการเชื่อใจใครมากๆแล้วสุดท้ายก็ต้องเจ็บเอง เสียใจเอง แม่งทำให้กูกลายเป็นคนไม่ไว้ใจไม่เชื่อใจใครง่ายๆไปซะเฉยๆ .	",sad
"ที่พูดไปทั้งหมดกูไม่ได้โมโห กูเสียใจ	",sad
"แงไๆๆๆๆๆเสียใจจังง	",sad
"@chaxn__ @krystalskillx เสียใจนะ??	",sad
"@saranya2545 เธออออ ฉันนกหมวกอย่างแรง ฉันเสียใจจจจ	",sad
"อยู่ดีดีก็เศร้าตอนคิดว่ามีคนเป็นหมื่นเป็นแสนที่แจ็คสันสนิทใจด้วย แต่แจ็คสันอาจเป็นแค่ไม่กี่คนในชีวิตที่มาร์คให้ความ… https://t.co/Vv7jIZpjhz	",sad
"อ่านเรื่องนี้แล้วเหมือนเป็นไบโพลาร์ ยิ้มๆอยู่ อ้าว ตัดเศร้าเฉย	",sad
"@crazy_got7 เคยเสิร์ชหาแล้ว แต่หาไม่เจอเลย เศร้า ??	",sad
"แต่นั่งเก้าอี้รถไฟฟ้าแล้วขาลอย คือแบบ...เศร้าจริงจัง	",sad
"ปากบอกคนอื่นว่า ไม่เป็นไร โอเค ไม่เสียใจ แต่ลึกๆแล้วป่าวเลย กูยังอยู่ที่เดิม	",sad
"@ycxzxac @JORSOR_ น้องเสียใจแงงง ลืมเชคตาราง ฮืออออ	",sad
"ถ้าย้อนเวลากลับไปได้ ก็ไม่ขอแก้ไขอะไร เพราะทุกอย่างที่ทำลงไป คิดดีแล้ว แต่ถ้ามันเกิดข้อผิดพลาด ไม่เสียใจ ยอมรับกับผลลัพธ์	",sad
"55555555555555555555เศร้าเลยว่ะ55555555555555555555 สมน้ำหน้าตัวเอง	",sad
"@BPooK92 ตอนนี้พี่ไม่ค่อยสบายอ่ะ เศร้า TT	",sad
"ฉันยิ้มสู้ ให้กับความเศร้า	",sad
"140922 เป็นวันที่เห็นรูปพรีวิวเซฮุนที่สนามบินหงอยๆ ดูเศร้าขนาดนี้ แล้วก็เป็นวันที่ลู่หานออกจากวง.. cr.rememberselu… https://t.co/baCspbCPLY	",sad
"จะสอบละหึๆๆ ไม่รู้เรื่องเลยย ช่างน่าเศร้ายิ่งนัก เกรดข้าาาาา โอ้ยยยยย??????	",sad
"เรื่องเศร้าม้ะกี้นี้ ยังไม่ทันได้รีของแจก เค้าประกาศคนได้ไปแล้ว อ้าว เห้ยย ไม่ทัน 5555	",sad
"หมดใจก็ให้รีบบอกมา เพราะความล่าช้า ไม่ได้บรรเทาความเสียใจ?
#แคปชั่นเด็ด #คำคมในวงเหล้า #แคปชั่นโดนๆ #ประโยคแซ่บแคปให้ด้วย #แคปชั่นเศร้า	",sad
"วันที่ผมเสียใจ พ่อพูดแค่ว่า ""มึงจะเสียใจทำไม กูเป็นพ่อมึง กูยังไม่ด่ามึงเลย จะไปแคร์อะไรกับคำพูดคนอื่น""-โจอี้ บอย http://t.co/EiOXOuf4vM	",sad
"@GZBeeR_BF เสียใจจจ พน.ว่างมั้ยจะชวนไปแกรมมี่	",sad
"ไม่อยากเสียใจซ้ำซากแล้วนะ	",sad
"#หมั่นโถวโถ่วชีวิต บัตรอีเจี๊ยบแพงสุดยังแค่7000เลย เสียใจด้วย แพ้9000หมั่นโถว https://t.co/0Kc8sAlWhQ	",sad
"รักสามฉันเศร้าคนเดียว	",sad
"เศร้าจัง  #ตองตั้ม https://t.co/dbtWjJJ8Ac	",sad
"เพลงเศร้าจนก็จะร้องล่ะนิ	",sad
"ไม่มีความสุขเลยหว่ะ อารมณ์หม่นๆเศร้าๆไปหมด??	",sad
"กูเศร้ากูเสียใจกูต้องมีแผนด้วยหรอ คือไรอะ	",sad
"พ่อบอกว่าเราดูโตขึ้นกว่าตอนอยู่กับพ่อแม่ ดูเป็นผู้ใหญ่ขึ้น รู้สึกดีมั้ง แต่ก็รู้สึกเศร้าอยู่ลึกๆ เรากำลังจะเป็นผู้ใหญ่แต่เขาอายุมากขึ้น	",sad
"เสียใจจจจ จริงจังงง	",sad
"พนง: มีปัญหาอะไรถึงยกเลิกคะ
ลค: ของสามี เขาตายแล้ว
พนง: เสียใจด้วยนะคะ
ลค: เสียใจทำไมคะ ตายๆ ไปดีละ
วอท ททททท 5555	",sad
"ถ้าเขาพร้อมจะเสียกู กูก็พร้อมจะเสียใจ.?? 
#แคปชั่น #แคปชั่นเด็ด #แคปชั่นเสี่ยว #ประโยคแซบแคปให้ด้วย  #คำคมโดนๆ #คำคมในวงเหล้า #แคปชั่นเศร้า	",sad
"แต่ไม่ได้ก็ไม่เสียใจทำเต็มที่แล้วเกรดอยู่ปลายปากกาอาจารย์แล้วฮะ	",sad
"140922 วันที่โครตเจ็บเลยเดินมาโดยไม่มีพี่ลู่ ตอนนั้นพี่ชานกับสตาฟช่วยพยุงน้อง วันนั้นฮุนไม่ร่างเริงเลย ฮุนไม่ยิ้มเล… https://t.co/o3vzTYSzv2	",sad
"@payabehyun041 เศร้าเพราะมันจบหรือเพราะมันน่ากลัวอะครับ สำหรับผมนี่ให้อย่างหลังเลย	",sad
"พูดแล้วเศร้า กลัวซีประมาณสองตัว ส่วนเอนอกจากคอม (ที่มีแค่ 1 นก) แล้วดูไม่มีอนาคตเลยค่ะ... ฉี่วิดดดดดดด ฮือออออออออออออออออออ	",sad
"เหมือนทุกคนจงใจผิดสัญญาเพื่อให้เราเศร้าจนตายไปในที่สุด	",sad
"ถามมินมุงว่าอยากทำเพลงแนวไหนในบั้มหน้า นุ้งมินตอบว่าแนวมืดมนและเศร้าๆ เพราะปกตินุ้งฟังแนวนี้	",sad
"@tamu_tami29 แม่ให้วันละสิบบาท รวยได้ไงครับ เรื่องมันเศร้า	",sad
"ผิดไปแล้ว!! ไม่น่าทำแบบนั้นเลย เสียใจมากกับคำพูด ที่พูดไปทำให้เพื่อนคนหนึ่งเสียใจ #ขอโทษ ??	",sad
"ถ้าไม่จริงใจตั้งแต่แรก ก็อย่าเสียใจทีหลัง	",sad
"จริงๆก็ไม่กลัวเสียใจเท่าไหร่หรอก แต่กลัวคนอื่นจะเสียใจเพราะเรามากกว่าอะ555555??	",sad
"เสียใจอยู่ที่ได้งาน	",sad
"@TTATCHAKORN เค้าเสียใจที่อีก 0.5 คะแนนเค้าจะได้เพิ่มอีก 1 คะแนน.... พน.พยายามใหม่เนอะอายยย สู้ววววว	",sad
"เศร้า นี่หนาวอยู่วันเดียว ไม่เป็นไรใส่ไปเรียนพิเศษ ชิคๆ คูลๆ ก็ได้ &gt; ร้านเสื้อแขนยาวราคาหลักร้อย หนาวไม่หนาวก็ใส่ไ… https://t.co/nhSnGopHqt	",sad
"@kyxminna เสียใจนะคะพี่จ๋า	",sad
"ชอบใคร มีแต่ผิดหวัง 
เป็นเพราะสาเหตุอะไร 
แล้วก็ เสียใจ เหงาอยู่แบบนี้	",sad
"ยากจัง ที่ต้องเก็บความเสียใจไว้ข้างใน แล้วเดินต่อไปเหมือนเราสบายดี .	",sad
"เสียใจใยใย??	",sad
"ตัดผมมาถ้าไม่บอกก็ไม่มีคนทักเล้ยย เสียใจจจ	",sad
"@RamidaMRS คือฉันเสียใจ ที่ฉันชอบทำผิดไปทุกที~~~	",sad
"เมื่อก่อนไม่เคยเหนเสียใจกับสิ่งที่ทำนะ แต่วันนี้มึงทำกูตกใจมากอะ	",sad
"ปีนี้ก็มีแค่เรื่องเดียวแหละที่คิดละก้ยังเสียใจอยู่	",sad
"เพิ่งได้ดู #พรจากฟ้า มันแบบครบทุกอารมณ์  ชอบมากตรงการตีความหมายของเพลง เศร้าสุดๆตอนที่ตัวอักษรขึ้นมา  พยายามอย่างยิ่งไม่ให้น้ำตาไหล	",sad
"พน มข ประกาศผล เป็นอีกวันที่กูต้องเศร้าสินะ5555555555555555555555	",sad
"โสดแล้วก็เลิกเศร้า มันเสียระบบ????
#โสดไม่มั่วแต่ทั่วถึง	",sad
"ถ้าเขาพร้อมที่จะเสียเรา เราก็พร้อมที่จะเสียใจ ??????????????????	",sad
"ย้อนเวลากลับไปได้จะไม่พูดกับเธอว่ามันชีวิตเราอ่ะ เสียใจ	",sad
"พ่อซื้อผัดไทยมาให้ แม่ซื้อซูชิมา เอ้าชนกัน! ละอีนี่กลัวทั่งคู่เสียใจ จะเก็บไว้กินทีหลังก็ไม่ได้เลยกินทั่ง2อัน #นอนอืด	",sad
"โตแล้ว ต่อให้เจ็บให้เสียใจขนาดไหน ก็ต้องโกหกคนอื่นๆว่า ชีวิตดี	",sad
"เป็นคนบอกเพื่อนเองว่าอย่าเสียใจ เป็นคนพูดกับเพื่อนเองว่ากว่าจะโตต้องเจอใครอีกเป็นร้อย	",sad
"?

                 ...ชีวิตมอหก เป็นชีวิตที่รวบรวมทุกความรู้สึกของชีวิต ทั้งดีใจ ตื้นตัน เสียใจ ร้องไห้ รวมไปถึงโศกเศร้าจาก #gatpat ...

?	",sad
"@mchitxmingyu พี่เมิงพูดงี้น้องเสียใจนะ ??	",sad
"ทำเพื่อไร อ่ะ #แท็กทราย — รู้สึกเสียใจ	",sad
"จงปลดปล่อยตัวเองให้มีความสุข เท่าที่ชีวิตอนุญาตให้คุณมี อย่าจมดิ่งกับความเศร้า แล้วก็เอาแต่โทษตัวเอง เพราะเมื่อวานนี้ ได้ผ่านไปแล้ว	",sad
"เศร้า	",sad
"@jinnxhwan กินแล้วครับ แต่ตอนนี้เศร้า	",sad
"ที่รีๆกันเนี่ยอยากได้ ฟตก.กันใช่ม้ะ เสียใจนะ??	",sad
"เสียใจ	",sad
"@OomjaiLOS คือไรยังไม่รู้เลยยย เสียใจ	",sad
"สงสารยุนนนนนนนนนนนนนนนนน
หลัวมาหาเรานะ หลัวไม่ต้องเสียใจจจจจ 
หลัวคงสงสัย  เรามาทำอะไรที่นี่ 5555555555	",sad
"แต่เสียใจสุดๆละวะ	",sad
"ชาวทวิตเตี้ยนนี่เหมือนเป็นบ้า เดี๋ยวบ่นเดี๋ยวเศร้าเดี๋ยวหาผัว เอ้ะ รึกูคนเดียว	",sad
"@beerty เสียใจด้วยมึงง ทำไมเสียอะ ร่างกายขาดน้ำหรอ นี่อาหารเป็นพิษประจำแต่ไม่ค่อยใส่ใจเลย ??	",sad
"ไม่เศร้าไม่อะไรหน่อยหรอ	",sad
"ทำไมรอบตัว ดูเศร้ากันจัง มันทำใก้เราเศร้ามากกว่าเก่า จากที่เป็นคนเศร้าอยู่แล้ว	",sad
"อะ ตองตั้ม T____T ว่าจิวาดรูปที่ลองอยู่เหมือนกัน เศร้าจัง คู่หู วิถีฟุตบอล	",sad
"อิผัวซ้อมเมียจนแท้ง อิเมียก็มีชู้ จ้างวานฆ่าผัว แล้วมาตีหน้าเศร้าเล่าความเท็จเนียนไปอีก ที่ว่าศีลเสมอกันเลยอยู่กันได้แม่งโครตจริง #หมอนิ่ม	",sad
"@narinrarin เศร้าจุงเรยค่ะ 5555	",sad
"จะมีแจกบัตรมั๊ย
ใจไปแล้ว แต่เงินยังไม่มาเลย
เศร้าจริงจัง
#InfiniteFanMeetinginBangkok	",sad
"เรื่องมันเศร้า เข้าเกมดีกว่า	",sad
"@wh0393te ยักจริงมั้ย เตง เตงเศร้าใช่มั้ย เค้าไม่อยากให้เตงเศร้านะ ถึงเค้าจะบ้าๆบอๆแต่เค้าเป็น??เตงนะ คือแบบ เตงคนเมื่อคืนน่ารักมากจริงๆ	",sad
"@WANGXCOMP เศร้าจนหายเศร้าแล้วครับเนี่ย	",sad
"เเรงกว่าเหล้า คือความเศร้าของกูนี่ล่ะ
#แคปชั่นเด็ด #แคปชั่นเสี่ยว	",sad
"เป็นความรู้สึกที่ฟังเพลงเศร้าไม่อิน	",sad
"เพิ่งรู้ว่าปฏิทินทอบ.มีขาตั้งก่ะรูปให้ด้วย โคตรดีงาม เริ่มเสียใจละที่ไม่ได้ซื้อ ??	",sad
"ถ้าเลือกได้ฉันไม่อยากเสียใจกับเรื่องของเธออีก	",sad
"26สค ททร้องไห้เสียใจไปซบอกเพื่อนต่างกับนช ที่ไปdinnerที่ร้านอาหารหรูทรงผมทรงเดียวกะไฟนอลโรสด้วยนี่คิดว่าปั้นเลือกนช… https://t.co/1zlsHkF1JF	",sad
"กูว่ากูเก่งนะที่ตีมึนได้ขนาดนี้ เลิกเสียใจเล่ารวยใครจะทำไม	",sad
"เสียใจด้วยกับเรื่องของเรา มันไม่มีทางเป็นไปได้อีกแล้ว	",sad
"หรอ?กลัวเราเสียใจหรอ?	",sad
"ฟังเพลงวินเทอร์อซทีไรเกิดซึมเศร้าทุกที เมี่ยงเง้ย ความผิดใคร!	",sad
"ฮาา 55555555555555555 แดซอง เสียใจด้วยนะ 5555555555555555555555555555555555555555 https://t.co/wC4zwo3A8b	",sad
"เสียใจ แล้วร้องไห้ ยังไม่เท่าไร  แต่เสียใจ แล้วต้องยิ้ม เพื่อให้คนอื่นเห็นว่าไม่เป็นอะไร ทรมานแทบตายจริงๆ	",sad
"@Yui_Jsp เราเชื่อว่ามันจะมีจุดที่เรารู้สึกว่าโอเคพอแล้วที่ผ่านมาเราทำดีแล้ว แล้วเราจะไม่เสียใจกับมัน แต่จะคิดถึงมันแค่นั่นเอง	",sad
"@tiu_tatee มาช่วยเลือกเสื้อผ้าหน่อย 5555555 แกกลับมาไม่ทันเราเดินแหงงง เสียใจจจ	",sad
"ยังพยายามจะหล่อเลี้ยงความเสียใจ.	",sad
"ผู้โชคดีรายงานตัวครบทั้ง 2 คนเรียบร้อยแล้วนะคะ คนที่ไม่ได้ก็อย่าเสียใจไปน้า ขอบคุณทุกคนที่มาร่วมเล่นกิจกรรมนี้กันนะคะ ขอบคุณมากค่า &lt;3	",sad
"ไม่คิดบ้างเลยหรอว่าพูดอะไรออกมาแล้วคนอื่นจะเสียใจแค่ไหน	",sad
"คือเสียใจมากแต่งานก็โบ้มๆ อยู่ตรงหน้า	",sad
"เสียใจอะ กุเสียใจ	",sad
"เรื่องมันเศร้า เหล้ามันแพง เลยดื่มน้ำแดงแทนก่อน
#คำคมในวงเหล้า
#แฟนกูมีแต่มันไม่สนใจ	",sad
"เพลงโศกเศร้าไปไหน จากอยู่เฉยๆอยู่ดีๆ ฟังปุ้ปอกหักเลย เศร้าเลย	",sad
"เศร้าอะไรขนาดนี้ T_T	",sad
"คือแบบ กูบอกแล้วอะ มึงช้า เสียใจด้วยนะ หน้าแหก	",sad
"@damnjunhoex ไม่จีบแล้ว เรามีคนใหม่แล้ว เสียใจด้วย แบร่	",sad
"อยู่คนเดียวมันก็ดีบางทีมันก็เหงา
และหัวใจเราจะไม่ต้องไปพัวพันกับรักที่ไม่ชัดเจน
การเริ่มต้นใหม่มันยาก เพราะไม่อยากเสียใจอีกแล้ว #คิดในใจ	",sad
"B : วันนี้เราต้องจากกันแล้วสินะ ??
P : ไม่เศร้าดิมึงเดี๋ยวเราก็ได้เจอกันอีกนะ??
#BoomKrittapak #peakpeemapol… https://t.co/PCazv30kFe	",sad
"เศร้าเลยนะ	",sad
"อย่าบอกว่าสูบบุหรี่ละนะ เสียใจจ	",sad
"@damnyoojungx เสียใจนะ น้ำตามาเลยอะ ดูดิส	",sad
"@PinkRomz เจ๊ด่าน้องตะไม เสียใจ	",sad
"คนที่เฉย อาจเป็นคนที่เสียใจมากที่สุดก็ได้ ?? https://t.co/YE9ukATm3Z	",sad
"หน้าหนาวกรุงเทพ ก็เหมือน""ผู้หญิง""
บทจะมาก็มา บทจะไปก็ไม่ล่ำลา

เสียใจโดนหน้าหนาวเท

Cr: น้องชายผม	",sad
"แล้ววมวจะต้องเสียใจ ที่ไม่เลือกนักเรียนดีๆอย่างพวกกูเข้าเรียน เพื่อนได้กล่าวไว้555555 ขำสาสส
#วมว #mwit	",sad
"โอ๊ยหมายิ้มเศร้าจัง	",sad
"ฟังดูดราม่าทุกวันอะนะ แต่ชีวิตเรายาก สำหรับเรา และก็ไม่ได้เศร้ามากอะไร แค่กลัว แค่มีความทุกข์??	",sad
"@ZRVEE ไม่เหมือนพ่อ พ่อนี่มือหนัก เศร้าเลย	",sad
"ว่ากันว่าเหล้าจะหวานถ้าคนกินเศร้า	",sad
"ฟังเพลงที่พี่ร้องใน soundcloud แล้วก็เศร้าเฉย #โบ๊ะบ๊ะแฟมิลี่	",sad
"แค่เสียใจคะที่พูดว่าไม่เตรียมตัว ไม่เข้าใจอะไรเลย เข้าใจคะแค่สอนคนอื่นไม่ได้แต่หนูเข้าใจคะหนูเข้าใจ	",sad
"ทุกคนย่อมเปลี่ยนไป แต่ที่เสียใจเพราะเรามัวแต่เอาไปเปรียบเทียบกับตอนแรกที่เขาเป็น	",sad
"โอ้ยยยก้เขินปืนฝุ่นอยุ่ดีอะ แต่ฝุ่นทำร้ายจิตใจปืนเกินไป เรามิอยากเห็นปืนเสียใจ ฮื่อออออ	",sad
"แล้วท้ายปีมีแต่งานประกาศรางวัลดีๆเนตบ้านไม่สามารถดูอะไรได้เลยจะร้องแม่ขาหนูเสียใจ	",sad
"ฟิคที่เศร้าที่สุดไม่ใช่ฟิคดราม่า แต่คือฟิคดราม่าที่ขึ้นท้ายบทว่า last updated 2010	",sad
"@mookbbu ไปตอนไหนก็ด้ายยยย แค่มีเวลาและเงินนนน อีเหี้ยย เศร้าแลง	",sad
"?? สังคมวงเหล้า
เวลาเศร้าเพลงก็มา น้ำตาก็มี
??ให้เธอได้กับเขาและจงโชคดี..??	",sad
"เมื่อไหร่ที่เรามีความสุขกับชีวิตเราแทบจะไม่เปิดทวิตเลยแต่เมื่อไหร่ที่เราเศร้าทำไมรู้สึกว่าทวิตเป็นที่เดียวที่ปลอดภัยที่สุด 
#twitter",sad
จริงๆคนที่วันก่อนเศร้าวันต่อมาร่าเริงนี่ไม่ใช่ว่าเขาไม่เศร้านะแต่พอเห็นอีกคนแม่งมีความสุขได้อะเลยรู้สึกว่า เออไม่เศร้าก็ได้wa,sad
ตอนเสียใจก็โหยหาความสุข พอมีความสุขก็กลัวว่าจะหายไป,sad
มีความสุขได้แค่วันเดียว หลังจากนั้นก็กลับมาเศร้าเหมือนเคย,sad
บางทีก็มีความสุขดี แต่โรคจิตชอบอัพสเตตัสเศร้าๆ,sad
"วันนี้คือวันของมึง
มีความสุขให้มากๆนะ
ขอให้กูได้เห็นมึงยิ้มเยอะๆ
อย่ามาเสียใจให้กูเห็นบ่อยๆ
รักมึงนะจ๊ะ
สุขสันต์วันเกิด
@peartunwarat",sad
เศร้าก็แค่กอดกัน มีความสุขก็คอยหัวเราะไปด้วยกัน เป็นห่วงก็คอยดูแล #เอ็มกี เป็นการแสดงออกง่ายๆของคนสองคนที่ดูอบอุ่น… https://t.co/LwUO8HnzSH,sad
"การมีรอยยิ้มไม่ได้การันตีว่ามีความสุข
น้ำตาไม่ได้บ่งบอกถึงแค่ความเศร้า...",sad
คนที่คุณกำลังคุยด้วย ที่ดูเฮฮามีความสุข ความจริงเขาอาจกำลังร้องไห้หรือเสียใจอยู่ก็ได้,sad
ชีวิตของเรามีค่า ทำไมต้องเศร้าเพื่อคนอื่น ควรจะมีความสุขเพื่อตัวเองสิ,sad
"เวลาช้า เมื่อคุณรอคอย
เวลาเร็ว เมื่อคุณสาย
เวลาเหลือจะทน เมื่อคุณเสียใจ
เวลาสั้น เมื่อคุณมีความสุข
และเมื่อคุณเบื่อ เวลาแสนจะยาวนาน

Unknown",sad
ถ้ามีความสุขอย่างเดียวแม่งไม่ใช่ความรักหรอก ถ้ารู้สึกจริงๆ เราจะมีทั้งสุข เศร้า โกรธ เสียใจ ปนกันไปหมดในแต่ละวัน เพราะเขาคนเดียว,sad
"'จำได้ได้ยังไงครับ?'
'คุณพลาดตอนสะกดจิต คุณให้จำแต่ที่มีความสุขและให้ลืมคุณ แต่ทุกขณะที่คุณอยู่ด้วย เศร้าหรือลำบาก… https://t.co/LAdNrlwYtn",sad
@123beam ไม่เศร้า5555555555555555555555 ฉันมีความสุขดี,sad
ไม่ได้รู้สึกเศร้านะแต่ก็ไม่ได้มีความสุขแบบมันรู้สึกอะไรก็ไม่สุดสักอย่าง,sad
"พื้นเพเป็นคนเฮฮาและมีความสุข
แต่ก็มีเรื่องเศร้าในชีวิตเหมือนกันนะ
และถ้านึกถึงเรื่องเศร้าก็ร้องไห้ได้ง่ายๆด้วย",sad
สรุปคือ ถ้าเป็นโรคซึมเศร้า ก็ไปพบจิตแพทย์เลย จะได้หาสาเหตุและทางแก้ได้ไวที่สุด ไม่ต้องเสียเวลาไปกับวิธีอื่น จะได้หายไวๆ มีความสุขเร็วๆ เนอะ,sad
เศร้ากับเรื่องๆนึง จนมาคิดว่า เราเคยมีความสุขกับเรื่องนั้นด้วยหรอวะ,sad
เวลาที่เราได้อยู่กับเธอ ได้คุยกับเธอ เรามีความสุขมากนะ แต่ความสุขนั้นอะวันนึงมันจะทำให้เราเสียใจที่สุด แล้วเราก็ควรจะหยุดมัน,sad
การที่เราทนเวลาคนอื่นเอาเปรียบหรือล้อเลียน นั่นแหละคือการ do their time คือเราทนเศร้าแต่พวกมันมีความสุข สบ๊ายสบาย #คืออย่าไปยอม,sad
"เหงาก็ไปหาด
เศร้าก็ไปหาด
อกหักก็ไปหาด
มีความสุขก็ไปหาด
หาดจะเยียวยาทุกอย่างเองจริงๆ 5555 ????
#ทีมบูรพา https://t.co/tlAJCmYKQu",sad
นี่สงสัยมานานแล้วว่าความหมายเพลงมันกำกวม คือก็รักกันแล้วจะไปไหนหรอ ดูมีความสุขร้องแบบปากยิ้มแต่แววตาเศร้า งงไปหมด แ… https://t.co/jRE0re3Jvz,sad
บางทีเศร้าๆแต่อยากจะแกล้งว่ามีความสุขดีไปทำไมก็ไม่รู้เนอะ,sad
ไม่ได้เหนื่อยที่จะรอนะ แต่เหนื่อยที่ต้องเสียใจเวลานึกขึ้นได้ว่าตอนนี้เธอมีความสุขอยู่กับคนอื่น,sad
ความเศร้าที่ไม่รู้ตัวว่าได้เกิดขึ้นในสองปีก่อน มาเรื่อยๆ จนมาเจอคลิปไวน์ที่ฮีลลิ่ง ดูของแมตบ่อยมากๆมีความสุขมาก ขำขันจนความเศร้าหาย,sad
"@Aum_Thanadul (3)
มีความสุขมากๆไม่เศร้าๆ5555 เจอคนดีๆนะ ขอให้สมหวังทุกอย่างนะ อิ",sad
เพ้อไปเป็นพันเสียใจไปเป็นร้อย แต่เค้าแม่งมีความสุขกับคนอื่น,sad
ตอนนี้มันมีความสุขจริงๆนะสุขจนคิดภาพไม่ออกเลยว่าถ้าวันนึงขาดกันไปจะเสียใจแค่ไหน,sad
มันต้องมีความสุขดิแต่ทำไมตอนนี้มันรู้สึกเศร้าแบบบอกไม่ถูกอ้ะ,sad
เราแค่ขอให้คุณมีความสุข ให้เขาดูแลความรักของคุณให้ดีและนานที่สุด อย่าให้คุณต้องเสียใจอีกเลย,sad
คนกำลังจะตายทำไม..เค้าถึงอยากมีความสุข ทั้งที่รุ้ว่าตัวกำลังจะตาย...ตัวข้าก็เช่นกันในเมื่อรุ้ชะตาตัวเองจะเศร้าทำไม  จงไปให้เค้าเสียดาย....,sad
มีความสุขจนไม่ได้คิดถึงวันที่ต้องเสียใจเลย...#คบกับบอท,sad
ยิ่งตอนนั้นสนุกมากเท่าไหร่ ตอนนี้กลับรู้สึกเศร้าๆ เวลาที่มีความสุขทำไมหมดเร็วจัง อยากย้อนเวลา... ของอแง 1 ทวิต… https://t.co/jk2HXUlWFw,sad
มินะร้องไห้เเล้ว5555555555 ครั้งที่เเล้วมินะร้องไห้เพราะผิดหวังเเต่รอบนี้ร้องไห้เพราะมีความสุข??,sad
ตอนมีความสุขจะทำอะไรก็ทำ แต่ถ้าเศร้าก็อย่าลืมว่าเราอยู่ตรงนี้,sad
"มีความสุข = กิน
เศร้า = กิน
โกรธ = กิน
เครียด = กิน
ไม่หิว = กิน
หิว = กิน
ไม่อ้วน= เป็นไปไม่ได้
เห้ออออออ #ตีแผ่สายกิน",sad
ดีใจที่เห็นมึงมีความสุขแล้วมึงหล่ะดีใจไหมที่เห็นกูเสียใจ,sad
"รอยยิ้มที่อสดงออกเพื่อให้คนอื่นเห็นความเรามีความสุข
ที่จริงแล้ว
อาจเป็นรอยยิ้มที่เศร้าที่สุดก็ได้. https://t.co/zA0vGSGrXb",sad
"เราเป็นผู้ป่วยโรคซึมเศร้านะ
เวลาเราอยู่กับเพื่อน
เรามีความสุข
เราสนุเรายิ้มได้
แต่พอเราอยู่คนเดียว
เราไม่โอเค
เราเหงาจนเรานั่งร้องไห้คนเดียว",sad
ถึงจะแอบเศร้าเรื่องพ่อแต่ก็มีความสุขนะ,sad
"ทนเหงา
ทนเศร้า
มีความสุขให้มากๆน่ะ
ให้มันคุ้มกับที่เราอดทน อดกลั้นมาตลอด
ให้คุ่มค่ากับที่เรา
ยอมสูญเสียแม้กระทั้ง...
ตัวตนของเราไป",sad
